2022-06-19 07:06:28.736794 :: target_cam_pos: (447, 4), iha_gps_pos: LocationGlobalRelative:lat=-35.3628809,lon=149.1651607,alt=598.98, target_gps_pos: (563.6171191, 149.1651607)
2022-06-19 07:06:28.769753 :: target_cam_pos: (449, 11), iha_gps_pos: LocationGlobalRelative:lat=-35.3628809,lon=149.1651607,alt=598.98, target_gps_pos: (563.6171191, 149.1651607)
2022-06-19 07:06:28.783579 :: target_cam_pos: (449, 11), iha_gps_pos: LocationGlobalRelative:lat=-35.3628809,lon=149.1651607,alt=598.98, target_gps_pos: (563.6171191, 149.1651607)
2022-06-19 07:06:28.805342 :: target_cam_pos: (450, 19), iha_gps_pos: LocationGlobalRelative:lat=-35.3628809,lon=149.1651607,alt=598.98, target_gps_pos: (563.6171191, 149.1651607)
2022-06-19 07:06:28.834207 :: target_cam_pos: (450, 26), iha_gps_pos: LocationGlobalRelative:lat=-35.3628809,lon=149.1651607,alt=598.98, target_gps_pos: (563.6171191, 149.1651607)
2022-06-19 07:06:28.869227 :: target_cam_pos: (452, 34), iha_gps_pos: LocationGlobalRelative:lat=-35.3628809,lon=149.1651607,alt=598.98, target_gps_pos: (563.6171191, 149.1651607)
2022-06-19 07:06:28.901624 :: target_cam_pos: (453, 47), iha_gps_pos: LocationGlobalRelative:lat=-35.3628809,lon=149.1651607,alt=598.98, target_gps_pos: (563.6171191, 149.1651607)
2022-06-19 07:06:28.913198 :: target_cam_pos: (453, 47), iha_gps_pos: LocationGlobalRelative:lat=-35.3628809,lon=149.1651607,alt=598.98, target_gps_pos: (563.6171191, 149.1651607)
2022-06-19 07:06:28.943082 :: target_cam_pos: (454, 62), iha_gps_pos: LocationGlobalRelative:lat=-35.3628809,lon=149.1651607,alt=598.98, target_gps_pos: (563.6171191, 149.1651607)
2022-06-19 07:06:28.981787 :: target_cam_pos: (455, 77), iha_gps_pos: LocationGlobalRelative:lat=-35.3628809,lon=149.1651607,alt=598.98, target_gps_pos: (563.6171191, 149.1651607)
2022-06-19 07:06:29.010799 :: target_cam_pos: (456, 92), iha_gps_pos: LocationGlobalRelative:lat=-35.3628809,lon=149.1651607,alt=598.98, target_gps_pos: (563.6171191, 149.1651607)
2022-06-19 07:06:29.043271 :: target_cam_pos: (457, 106), iha_gps_pos: LocationGlobalRelative:lat=-35.3628809,lon=149.1651607,alt=598.98, target_gps_pos: (563.6171191, 149.1651607)
2022-06-19 07:06:29.069045 :: target_cam_pos: (458, 118), iha_gps_pos: LocationGlobalRelative:lat=-35.3628809,lon=149.1651607,alt=598.98, target_gps_pos: (563.6171191, 149.1651607)
2022-06-19 07:06:29.104785 :: target_cam_pos: (459, 133), iha_gps_pos: LocationGlobalRelative:lat=-35.3628809,lon=149.1651607,alt=598.98, target_gps_pos: (563.6171191, 149.1651607)
2022-06-19 07:06:29.136263 :: target_cam_pos: (460, 145), iha_gps_pos: LocationGlobalRelative:lat=-35.3628809,lon=149.1651607,alt=598.98, target_gps_pos: (563.6171191, 149.1651607)
2022-06-19 07:06:29.174751 :: target_cam_pos: (462, 159), iha_gps_pos: LocationGlobalRelative:lat=-35.3628809,lon=149.1651607,alt=598.98, target_gps_pos: (563.6171191, 149.1651607)
2022-06-19 07:06:29.202099 :: target_cam_pos: (462, 171), iha_gps_pos: LocationGlobalRelative:lat=-35.3628809,lon=149.1651607,alt=598.98, target_gps_pos: (563.6171191, 149.1651607)
2022-06-19 07:06:29.246377 :: target_cam_pos: (464, 185), iha_gps_pos: LocationGlobalRelative:lat=-35.3628809,lon=149.1651607,alt=598.98, target_gps_pos: (563.6171191, 149.1651607)
2022-06-19 07:06:29.271875 :: target_cam_pos: (465, 196), iha_gps_pos: LocationGlobalRelative:lat=-35.3628809,lon=149.1651607,alt=598.98, target_gps_pos: (563.6171191, 149.1651607)
2022-06-19 07:06:29.305261 :: target_cam_pos: (466, 209), iha_gps_pos: LocationGlobalRelative:lat=-35.3628809,lon=149.1651607,alt=598.98, target_gps_pos: (563.6171191, 149.1651607)
2022-06-19 07:14:04.323871 :: target_cam_pos: (95, 3), iha_gps_pos: LocationGlobalRelative:lat=-35.3636449,lon=149.1651609,alt=598.98, target_gps_pos: (-35.3636449, 149.1651609)
2022-06-19 07:14:04.334627 :: target_cam_pos: (95, 3), iha_gps_pos: LocationGlobalRelative:lat=-35.3636449,lon=149.1651609,alt=598.98, target_gps_pos: (-35.3636449, 149.1651609)
2022-06-19 07:14:04.360330 :: target_cam_pos: (97, 10), iha_gps_pos: LocationGlobalRelative:lat=-35.3636449,lon=149.1651609,alt=598.98, target_gps_pos: (-35.3636449, 149.1651609)
2022-06-19 07:14:04.401646 :: target_cam_pos: (99, 16), iha_gps_pos: LocationGlobalRelative:lat=-35.3636449,lon=149.1651609,alt=598.98, target_gps_pos: (-35.3636449, 149.1651609)
2022-06-19 07:14:04.422758 :: target_cam_pos: (101, 22), iha_gps_pos: LocationGlobalRelative:lat=-35.3636449,lon=149.1651609,alt=598.98, target_gps_pos: (-35.3636449, 149.1651609)
2022-06-19 07:14:04.454276 :: target_cam_pos: (103, 30), iha_gps_pos: LocationGlobalRelative:lat=-35.3636449,lon=149.1651609,alt=598.98, target_gps_pos: (-35.3636449, 149.1651609)
2022-06-19 07:14:04.476767 :: target_cam_pos: (103, 31), iha_gps_pos: LocationGlobalRelative:lat=-35.3636449,lon=149.1651609,alt=598.98, target_gps_pos: (-35.3636449, 149.1651609)
2022-06-19 07:14:04.498023 :: target_cam_pos: (106, 40), iha_gps_pos: LocationGlobalRelative:lat=-35.3636449,lon=149.1651609,alt=598.98, target_gps_pos: (-35.3636449, 149.1651609)
2022-06-19 07:14:04.525523 :: target_cam_pos: (106, 40), iha_gps_pos: LocationGlobalRelative:lat=-35.3636449,lon=149.1651609,alt=598.98, target_gps_pos: (-35.3636449, 149.1651609)
2022-06-19 07:14:04.556643 :: target_cam_pos: (108, 53), iha_gps_pos: LocationGlobalRelative:lat=-35.3636449,lon=149.1651609,alt=598.98, target_gps_pos: (-35.3636449, 149.1651609)
2022-06-19 07:14:04.608219 :: target_cam_pos: (110, 72), iha_gps_pos: LocationGlobalRelative:lat=-35.3636449,lon=149.1651609,alt=598.98, target_gps_pos: (-35.3636449, 149.1651609)
2022-06-19 07:14:04.628973 :: target_cam_pos: (112, 83), iha_gps_pos: LocationGlobalRelative:lat=-35.3636449,lon=149.1651609,alt=598.98, target_gps_pos: (-35.3636449, 149.1651609)
2022-06-19 07:14:04.648356 :: target_cam_pos: (113, 92), iha_gps_pos: LocationGlobalRelative:lat=-35.3636449,lon=149.1651609,alt=598.98, target_gps_pos: (-35.3636449, 149.1651609)
2022-06-19 07:14:04.673654 :: target_cam_pos: (115, 105), iha_gps_pos: LocationGlobalRelative:lat=-35.3636449,lon=149.1651609,alt=598.98, target_gps_pos: (-35.3636449, 149.1651609)
2022-06-19 07:14:04.701713 :: target_cam_pos: (117, 117), iha_gps_pos: LocationGlobalRelative:lat=-35.3636449,lon=149.1651609,alt=598.98, target_gps_pos: (-35.3636449, 149.1651609)
2022-06-19 07:14:04.733834 :: target_cam_pos: (119, 130), iha_gps_pos: LocationGlobalRelative:lat=-35.3636449,lon=149.1651609,alt=598.98, target_gps_pos: (-35.3636449, 149.1651609)
2022-06-19 07:14:04.762567 :: target_cam_pos: (121, 142), iha_gps_pos: LocationGlobalRelative:lat=-35.3636449,lon=149.1651609,alt=598.98, target_gps_pos: (-35.3636449, 149.1651609)
2022-06-19 07:14:04.776640 :: target_cam_pos: (121, 145), iha_gps_pos: LocationGlobalRelative:lat=-35.3636449,lon=149.1651609,alt=598.98, target_gps_pos: (-35.3636449, 149.1651609)
2022-06-19 07:14:04.812394 :: target_cam_pos: (123, 158), iha_gps_pos: LocationGlobalRelative:lat=-35.3636449,lon=149.1651609,alt=598.98, target_gps_pos: (-35.3636449, 149.1651609)
2022-06-19 07:14:04.843526 :: target_cam_pos: (124, 169), iha_gps_pos: LocationGlobalRelative:lat=-35.3636449,lon=149.1651609,alt=598.98, target_gps_pos: (-35.3636449, 149.1651609)
2022-06-19 07:16:24.290455 :: target_cam_pos: (98, 0), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.1651609,alt=598.99, target_gps_pos: (-35.363645, 149.1651609)
